" and "," e "
"(Absolute path or Relative to Magento install root, ex. var/export)","(Diretório absoluto ou relativo da instalação do Magento, ex. var/export)"
"(For US 2-letter state names)","(Para UF 2-letras no nome do estado)"
"(If left empty will be auto-generated)","(Se ficar em branco será gerado automaticamente)"
"(Leave empty for first spreadsheet)","(Deixe em branco para primeira planilha)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produto será adicionado/atualizado para esta loja se a coluna 'loja' estiver em branco no arquivo de importação.)"
"(Shift-)Click or drag to change value","(Shift-)Clique ou arraste para alterar o valor"
"(Starting with)","(Iniciando com)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Quando 'Não', apenas campos mapeados serão importados. Quando mapeado, use 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Você precisa aumentar memory_limit antes de alterar este valor)"
"(\\t for tab)","(\\t para guia)"
"- Click on any of the time parts to increase it","- Clique em qualquer parte para aumentar"
"- Hold mouse button on any of the above buttons for faster selection.","- Segure o botão do mouse em qualquer botão para selecionar mais rápido."
"- Use the %s buttons to select month","- Usar o %s botões para selecionar o mês"
"- Use the %s, %s buttons to select year","- Usar o %s, %s botões para selecionar o ano"
"- or Shift-click to decrease it","- ou Shift-clique para reduzir"
"- or click and drag for faster selection.","- ou clique e arraste para selecionar rapidamente."
"-- Please Select Billing Agreement--","Selecione o Termo de Cobrança..."
"About the calendar","Sobre o calendário"
"Access denied.","Acesso Negado."
"Account Created in:","Conta Criada em:"
"Account Created on (%s):","Conta Criada em (%s):"
"Account Created on:","Conta Criada em:"
"Action","Ação"
"Actions","Ações"
"Add Contents Path","Adicionar Diretório de Conteúdo"
"Add Field with URL:","Adicionar Campo com URL:"
"Add New Role","Adicionar Nova Regra"
"Add New User","Adicionar Novo Usuário"
"Add PHP Extension dependency","Adicionar dependência de Extensão PHP"
"Add Package dependency","Adicionar dependência de Pacote"
"Address Type:","Tipo de Endereço:"
"All","Todos"
"All Websites","Todos Websites"
"All fields","Todos os campos"
"Archive file name:","Nome do arquivo:"
"Are you sure that you want to delete this template?","Deseja realmente excluir este modelo?"
"Are you sure that you want to strip tags?","Deseja realmente esta faixa de tags?"
"Attribute Set Name:","Nome da Marcação de Atributos:"
"Attributes","Atributos"
"Authors","Autores"
"Available Products","Produtos Disponíveis"
"Big Image","Imagem Grande"
"Billing Address","Endereço de Cobrança"
"Billing Agreement","Termo de Cobrança"
"Bundle Items","Pacote de Itens"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Pacote com preço dinâmico não pode incluir opções personalizadas. Opções não serão salvas."
"CSV / Tab separated","CSV / Guia Separada"
"Card Verification Number","Número de Verificação do Cartão"
"Catalog","Catálogo"
"Channel","Canal"
"Child Transactions","Transações Seguintes"
"Choose Store View","Escolha uma Visão"
"Clear","Limpar"
"Client Session timeout (sec.)","Tempo de Sessão do Cliente (seg.)"
"Close","Fechar"
"Comments History","Histórico de Comentários"
"Confirmed email:","Email Confirmado:"
"Connect with the Magento Community","Junte-se a Comunidade Magento"
"Contents","Sumário"
"Country:","País:"
"Created At","Criado Em"
"Credit Card Number","Número do Cartão de Crédito"
"Credit Card Number: xxxx-%s","Número do Cartão de Crédito: xxxx-%s"
"Credit Card Type","Tipo do Cartão de Crédito"
"Credit Card Type: %s","Tipo do Cartão de Crédito: %s"
"Credit Memo History","Histórico de Reembolso"
"Credit Memo Totals","Totais de Reembolso"
"Current Configuration Scope:","Escopo Atual da Configuração:"
"Custom","Personalizado"
"Customer","Cliente"
"Customer Group:","Grupo do Cliente:"
"Customer Since:","Cliente Desde:"
"Customers","Clientes"
"DHTML Date/Time Selector","DHTML Data/Hora Escolha"
"Dashboard","Painel"
"Data Format","Formato de Dados"
"Data transfer:","Transferência de dados:"
"Date selection:","Seleção de Data:"
"Date selector","Seleção de Data"
"Decimal separator:","Separador Decimal:"
"Default (Admin) Values","Valores Padrão (Admin)"
"Default Billing Address","Endereço de Cobrança Padrão"
"Default Response Charset","Charset Padrão das Páginas"
"Default Values","Valores Padrão"
"Delete","Excluir"
"Direction:","Direção:"
"Display %s first","Exibir %s primeiro"
"Distributed under GNU LGPL. See %s for details.","Distribuído sob GNU LGPL. Veja %s para mais detalhes."
"Drag to move","Arraste para mover"
"Edit Role","Editar Regra"
"Edit User '%s'","Editar Usuário '%s'"
"Email","Email"
"Email Preview","Pré-Visualizar Email"
"Email:","Email:"
"Enclose Values In:","Fechar Valores Em:"
"Entity type:","Tipo de Entidade:"
"Excl. Tax","Excl. Taxa"
"Expiration Date","Data de Expiração"
"Expiration Date: %s/%s","Data de Expiração: %s/%s"
"Export","Exportar"
"Export Filters","Exportar Filtros"
"Export to:","Exportar para:"
"Export:","Exportar:"
"Extension","Extensão"
"Extensions","Extensões"
"FTP Host[:Port]","FTP Host[:Port]"
"Field Mapping","Campo Mapeado"
"File Information","Informações do Arquivo"
"File name:","Nome do arquivo:"
"Files","Arquivos"
"Final Price","Preço Final"
"Finished profile execution.","Execução de perfil finalizada."
"First Name:","Nome:"
"For latest version visit: %s","Última Versão: %s"
"From","De"
"General Information","Informações Gerais"
"General Settings","Opções Gerais"
"Get help for this page","Ajuda"
"Global Record Search","Global Registros de Busca"
"Go Today","Hoje"
"Google Base Items","Itens do Google Base"
"Group:","Grupo:"
"Help Us Keep Magento Healthy - Report All Bugs","Ajude a manter a qualidade do Magento - Reporte os Problemas"
"Ignore","Ignorar"
"Images","Imagens"
"Import","Importar"
"Import Service","Importar Serviço"
"In Database:","No Banco de Dados:"
"In File:","No Arquivo:"
"Incl. Tax","Incl. Taxa"
"Include","Incluir"
"Interactive","Interativo"
"Interface Locale: %s","Idioma do Sistema: %s"
"Invalid webservice adapter specified","Adaptador webservice informado é inválido."
"Invalid webservice handler specified","Gerenciador webservice informado é inválido."
"Invoice History","Histórico de Faturas"
"Invoice Totals","Fatura Totais"
"Is Closed","Fechado"
"Issue Number","Número de Emissão"
"Issuer: %s","Emissão: %s"
"JavaScript/CSS","JavaScript/CSS"
"JavaScript/CSS Cache","JavaScript/CSS Cache"
"Last 5 Orders","Últimos 5 Pedidos"
"Last 5 Search Terms","Últimos 5 Termos de Busca"
"Last Logged In (%s):","Último Acesso (%s):"
"Last Logged In:","Último Acesso:"
"Last Name:","Sobrenome:"
"Latest Message:","Última Mensagem:"
"Leave empty to use tax identifier","Deixe vazio para usar identificador de taxa"
"Links with associated products will retain only after saving current product.","Links com produtos associados serão retidos apenas após salvar produto atual."
"Loading...","Carregando..."
