"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s foi adicionado aos favoritos. Clique <a href=""%2$s"">aqui</a> para continuar comprando"
"%d product(s) have been added to shopping cart: %s.","%d produto(s) foram adicionados ao carrinho de compras: %s."
"%s's Wishlist","%s's Favoritos"
"* Required Fields","*Campos Obrigatórios"
"Add All to Cart","Adicionar Tudo ao Carrinho"
"Add to Cart","Comprar"
"Add to Wishlist","Adicionar aos Favoritos"
"Added On","Data"
"An error occurred while adding item to wishlist.","Ocorreu um erro ao tentar adicionar um item aos favoritos."
"An error occurred while adding item to wishlist: %s","Ocorreu um erro ao tentar adicionar um item aos favoritos: %s"
"An error occurred while deleting the item from wishlist.","Ocorreu um erro ao tentar excluir um item dos favoritos."
"An error occurred while deleting the item from wishlist: %s","Ocorreu um erro ao tentar excluir um item dos favoritos: %s"
"Are you sure you want to remove this product from your wishlist?","Tem certeza que deseja excluir este produto dos favoritos?"
"Are you sure you would like to remove this item from the wishlist?","Tem certeza que deseja excluir este item dos favoritos?"
"Back","Voltar"
"Can\'t save description %s","Não foi possível salvar a descrição %s"
"Can\'t update wishlist","Não foi possível atualizar os favoritos"
"Cannot add item to shopping cart","Não foi possível adicionar item ao carrinho"
"Cannot add the item to shopping cart.","Não foi possível adicionar o item ao carrinho."
"Cannot create wishlist.","Não foi possível criar os favoritos."
"Cannot specify product.","Não foi possível especificar o produto."
"Cannot specify wishlist.","Não foi possível especificar os favoritos."
"Cannot update wishlist","Não foi possível atualizar os favoritos"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Marque este checkbox se você deseja adicionar um link para rss dos seus favoritos."
"Comment","Comentário"
"Comment:","Comentário:"
"Customer My Account My Wishlist","Cliente Minha Conta Favoritos"
"Customer My Account Wishlist Sharing Form","Cliente Minha Conta Favoritos Compartilhar Formulário"
"Customer Shared Wishlist View","Visualizar Compartilhamento de Favoritos dos Clientes"
"Email Sender","Remetente de Email"
"Email Template","Modelo de Email"
"Email address can\'t be empty.","Endereço de email deve ser preenchido."
"Email addresses, separated by commas","Endereços de email, separados por vírgula"
"Enabled","Habilitado"
"General Options","Opções Gerais"
"Go to Wishlist","Ver Favoritos"
"Last Added Items","Últimos Itens Adicionados"
"Message","Mensagem"
"My Wishlist","Meus Favoritos"
"My Wishlist (%d item)","Favorito (%d item)"
"My Wishlist (%d items)","Favoritos (%d itens)"
"My Wishlist <small>(%d)</small>","Favoritos <small>(%d)</small>"
"Out of stock","Sem Estoque"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Informe email válido, separado por vírgula. Exemplo johndoe@domain.com, johnsmith@domain.com."
"Please input a valid email address.","Informe um email válido."
"Please, enter your comments...","Faça seus comentários..."
"Product","Produto"
"Product(s) %s are grouped. Each of them can be added to cart separately only.","Produto(s) %s agrupados. Cada um deles pode ser adicionado separadamente ao carrinho."
"Product(s) %s have required options. Each of them can be added to cart separately only.","Produto(s) %s tem opções obrigatórias. Cada um deles pode ser adicionado separadamente no carrinho."
"RSS Feed","Feed RSS"
"RSS link to %s's wishlist","Link RSS para %s's favoritos"
"Remove Item","Excluir Item"
"Remove This Item","Excluir Este Item"
"Remove item","Excluir item"
"Share Options","Opções de Compartilhamento"
"Share Wishlist","Compartilhar Favoritos"
"Share Your Wishlist","Compartilhe Seus Favoritos"
"Sharing Information","Compartilhando Informações"
"This product(s) is currently out of stock","Este produto esta sem estoque no momento"
"Unable to add the following product(s) to shopping cart: %s.","Não foi possível adicionar os seguintes produto(s) ao carrinho: %s."
"Update Wishlist","Atualizar Favoritos"
"View Product","Ver Produto"
"Wishlist","Favoritos"
"Wishlist Section","Seção Favoritos"
"Wishlist Sharing","Compartilhando Favoritos"
"Wishlist is empty now.","Favoritos está vazio."
"You have no items in your wishlist.","Você não possui nenhum produto como favorito."
"Your Wishlist has been shared.","Seus Favoritos foi compartilhada com sucesso."
